POTENTIAL AA

arg         target      
3.2516e-02  1.6024e+00  
8.2440e-02  9.8148e+00  
1.3236e-01  2.7141e+01  
1.8229e-01  5.9189e+01  
2.3221e-01  1.0255e+02  
2.8214e-01  1.8137e+02  
3.3206e-01  2.9234e+02  
3.8199e-01  4.4988e+02  
4.3191e-01  6.9064e+02  
4.8184e-01  1.0369e+03  
5.3176e-01  1.5177e+03  
5.8169e-01  2.1736e+03  
6.3161e-01  3.0099e+03  
6.8153e-01  4.0826e+03  
7.3146e-01  5.3912e+03  
7.8138e-01  6.9150e+03  
8.3131e-01  8.6602e+03  
8.8123e-01  1.0697e+04  
9.3116e-01  1.2870e+04  
9.8108e-01  1.5085e+04  
1.0310e+00  1.7256e+04  
1.0809e+00  1.9603e+04  
1.1309e+00  2.1830e+04  
1.1808e+00  2.3926e+04  
1.2307e+00  2.5932e+04  
1.2806e+00  2.7913e+04  
1.3306e+00  2.9831e+04  
1.3805e+00  3.1827e+04  
1.4304e+00  3.3648e+04  
1.4803e+00  3.5601e+04  
1.5303e+00  3.7725e+04  
1.5802e+00  3.9693e+04  
1.6301e+00  4.1869e+04  
1.6800e+00  4.4070e+04  
1.7299e+00  4.6507e+04  
1.7799e+00  4.9079e+04  
1.8298e+00  5.1708e+04  
1.8797e+00  5.4743e+04  
1.9296e+00  5.7574e+04  
1.9796e+00  6.0723e+04  
2.0295e+00  6.3952e+04  
2.0794e+00  6.7204e+04  
2.1293e+00  7.0662e+04  
2.1793e+00  7.4093e+04  
2.2292e+00  7.7797e+04  
2.2791e+00  8.1058e+04  
2.3290e+00  8.4968e+04  
2.3790e+00  8.8493e+04  
2.4289e+00  9.2501e+04  
2.4788e+00  9.6238e+04  
2.5287e+00  1.0006e+05  
2.5787e+00  1.0412e+05  
2.6286e+00  1.0800e+05  
2.6785e+00  1.1186e+05  
2.7284e+00  1.1616e+05  
2.7784e+00  1.2019e+05  
2.8283e+00  1.2433e+05  
2.8782e+00  1.2861e+05  
2.9281e+00  1.3314e+05  
2.9781e+00  1.3742e+05  
3.0280e+00  1.4196e+05  
3.0779e+00  1.4649e+05  
3.1278e+00  1.5110e+05  
3.1778e+00  1.5597e+05  
3.2277e+00  1.6074e+05  
3.2776e+00  1.6574e+05  
3.3275e+00  1.7056e+05  
3.3775e+00  1.7578e+05  
3.4274e+00  1.8065e+05  
3.4773e+00  1.8609e+05  
3.5272e+00  1.9119e+05  
3.5772e+00  1.9639e+05  
3.6271e+00  2.0177e+05  
3.6770e+00  2.0736e+05  
3.7269e+00  2.1272e+05  
3.7769e+00  2.1811e+05  
3.8268e+00  2.2375e+05  
3.8767e+00  2.2935e+05  
3.9266e+00  2.3515e+05  
3.9766e+00  2.4117e+05  
4.0265e+00  2.4709e+05  
4.0764e+00  2.5307e+05  
4.1263e+00  2.5855e+05  
4.1763e+00  2.6478e+05  
4.2262e+00  2.7093e+05  
4.2761e+00  2.7716e+05  
4.3260e+00  2.8307e+05  
4.3759e+00  2.8957e+05  
4.4259e+00  2.9598e+05  
4.4758e+00  3.0203e+05  
4.5257e+00  3.0875e+05  
4.5756e+00  3.1520e+05  
4.6256e+00  3.2186e+05  
4.6755e+00  3.2805e+05  
4.7254e+00  3.3504e+05  
4.7753e+00  3.4128e+05  
4.8253e+00  3.4891e+05  
4.8752e+00  3.5533e+05  
4.9251e+00  3.6238e+05  
4.9750e+00  3.6947e+05  

POTENTIAL BB

arg         target      
4.6816e-02  2.6114e+00  
9.6596e-02  1.1450e+01  
1.4638e-01  2.6818e+01  
1.9616e-01  5.4840e+01  
2.4594e-01  9.5217e+01  
2.9572e-01  1.6161e+02  
3.4550e-01  2.7069e+02  
3.9528e-01  4.3089e+02  
4.4506e-01  6.5909e+02  
4.9484e-01  9.6925e+02  
5.4462e-01  1.4020e+03  
5.9440e-01  1.9862e+03  
6.4419e-01  2.8068e+03  
6.9397e-01  3.8280e+03  
7.4375e-01  5.0602e+03  
7.9353e-01  6.5422e+03  
8.4331e-01  8.2444e+03  
8.9309e-01  1.0108e+04  
9.4287e-01  1.2173e+04  
9.9265e-01  1.4214e+04  
1.0424e+00  1.6389e+04  
1.0922e+00  1.8484e+04  
1.1420e+00  2.0614e+04  
1.1918e+00  2.2664e+04  
1.2416e+00  2.4570e+04  
1.2913e+00  2.6482e+04  
1.3411e+00  2.8220e+04  
1.3909e+00  2.9913e+04  
1.4407e+00  3.1786e+04  
1.4905e+00  3.3508e+04  
1.5402e+00  3.5439e+04  
1.5900e+00  3.7268e+04  
1.6398e+00  3.9275e+04  
1.6896e+00  4.1289e+04  
1.7394e+00  4.3677e+04  
1.7891e+00  4.6045e+04  
1.8389e+00  4.8413e+04  
1.8887e+00  5.1058e+04  
1.9385e+00  5.3914e+04  
1.9883e+00  5.6811e+04  
2.0380e+00  5.9736e+04  
2.0878e+00  6.2873e+04  
2.1376e+00  6.5884e+04  
2.1874e+00  6.9144e+04  
2.2372e+00  7.2553e+04  
2.2870e+00  7.5865e+04  
2.3367e+00  7.9438e+04  
2.3865e+00  8.2741e+04  
2.4363e+00  8.6223e+04  
2.4861e+00  9.0013e+04  
2.5359e+00  9.3444e+04  
2.5856e+00  9.7093e+04  
2.6354e+00  1.0073e+05  
2.6852e+00  1.0455e+05  
2.7350e+00  1.0824e+05  
2.7848e+00  1.1211e+05  
2.8345e+00  1.1603e+05  
2.8843e+00  1.2014e+05  
2.9341e+00  1.2422e+05  
2.9839e+00  1.2804e+05  
3.0337e+00  1.3261e+05  
3.0834e+00  1.3658e+05  
3.1332e+00  1.4104e+05  
3.1830e+00  1.4528e+05  
3.2328e+00  1.4991e+05  
3.2826e+00  1.5439e+05  
3.3323e+00  1.5909e+05  
3.3821e+00  1.6396e+05  
3.4319e+00  1.6873e+05  
3.4817e+00  1.7346e+05  
3.5315e+00  1.7825e+05  
3.5813e+00  1.8313e+05  
3.6310e+00  1.8843e+05  
3.6808e+00  1.9324e+05  
3.7306e+00  1.9854e+05  
3.7804e+00  2.0363e+05  
3.8302e+00  2.0874e+05  
3.8799e+00  2.1407e+05  
3.9297e+00  2.1941e+05  
3.9795e+00  2.2507e+05  
4.0293e+00  2.3035e+05  
4.0791e+00  2.3582e+05  
4.1288e+00  2.4140e+05  
